source_id,source_group,ok,status_code,evidence_count,robots_blocked,error,url
numerospam_mobile_681,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/681,https://numerospam.es/moviles/es/681
numerospam_mobile_682,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/682,https://numerospam.es/moviles/es/682
numerospam_mobile_683,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/683,https://numerospam.es/moviles/es/683
numerospam_mobile_684,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/684,https://numerospam.es/moviles/es/684
numerospam_mobile_685,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/685,https://numerospam.es/moviles/es/685
numerospam_mobile_686,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/686,https://numerospam.es/moviles/es/686
numerospam_mobile_687,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/687,https://numerospam.es/moviles/es/687
numerospam_mobile_688,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/688,https://numerospam.es/moviles/es/688
numerospam_mobile_689,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/689,https://numerospam.es/moviles/es/689
numerospam_mobile_690,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/690,https://numerospam.es/moviles/es/690
numerospam_mobile_691,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/691,https://numerospam.es/moviles/es/691
numerospam_mobile_692,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/692,https://numerospam.es/moviles/es/692
numerospam_mobile_693,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/693,https://numerospam.es/moviles/es/693
numerospam_mobile_694,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/694,https://numerospam.es/moviles/es/694
numerospam_mobile_695,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/695,https://numerospam.es/moviles/es/695
numerospam_mobile_696,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/696,https://numerospam.es/moviles/es/696
numerospam_mobile_697,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/697,https://numerospam.es/moviles/es/697
numerospam_mobile_698,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/698,https://numerospam.es/moviles/es/698
numerospam_mobile_699,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/699,https://numerospam.es/moviles/es/699
numerospam_mobile_711,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/711,https://numerospam.es/moviles/es/711
numerospam_mobile_712,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/712,https://numerospam.es/moviles/es/712
numerospam_mobile_717,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/717,https://numerospam.es/moviles/es/717
numerospam_mobile_722,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/722,https://numerospam.es/moviles/es/722
numerospam_mobile_727,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/727,https://numerospam.es/moviles/es/727
numerospam_mobile_744,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/744,https://numerospam.es/moviles/es/744
numerospam_mobile_747,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/747,https://numerospam.es/moviles/es/747
numerospam_mobile_748,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/748,https://numerospam.es/moviles/es/748
numerospam_province_a-coruna,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/a-coruna,https://numerospam.es/prefijos/es/a-coruna
numerospam_province_alava,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/alava,https://numerospam.es/prefijos/es/alava
numerospam_province_albacete,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/albacete,https://numerospam.es/prefijos/es/albacete
numerospam_province_alicante,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/alicante,https://numerospam.es/prefijos/es/alicante
numerospam_province_almeria,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/almeria,https://numerospam.es/prefijos/es/almeria
numerospam_province_asturias,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/asturias,https://numerospam.es/prefijos/es/asturias
numerospam_province_avila,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/avila,https://numerospam.es/prefijos/es/avila
numerospam_province_badajoz,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/badajoz,https://numerospam.es/prefijos/es/badajoz
numerospam_province_barcelona,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/barcelona,https://numerospam.es/prefijos/es/barcelona
numerospam_province_burgos,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/burgos,https://numerospam.es/prefijos/es/burgos
numerospam_province_caceres,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/caceres,https://numerospam.es/prefijos/es/caceres
numerospam_province_cadiz,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/prefijos/es/cadiz,https://numerospam.es/prefijos/es/cadiz
